"Principal Investigator","CoInvestigator","Role",DeptID,"Department","Proposal","Award ID","Title","Created","Deadline","Type","Proposal Status","Award Status","Begin Date","End Date","Indirect Costs","Indirect Cost%","Matching Funds","Partner Contrib","Requested Amount","Sponsor","Pgm Name","Comp Name","Keyword"
"Adamus,Janusz A","Adamus,Janusz A","PI",230300,"Mathematics","0000018537","R4166A01","START UP FUNDS","2009-09-11","2007-01-01","NEW","Accepted","Accepted","2007-07-01","2014-03-31","N","0.000","N","N","$10,000.00","UWO INTERNAL SCIENCE","INTERNAL FUNDING","2007 - CONVERSION","FR0P Conversion"
"Adamus,Janusz A","Adamus,Janusz A","PI",230300,"Mathematics","0000018538","R4166A02","LOCAL GEOMETRY OF REAL AND COMPLEX ANALYTIC MAPPINGS","2009-09-11","2007-11-01","NEW","Accepted","Accepted","2008-04-01","2013-03-31","N","0.000","N","N","$136,000.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","2007 - CONVERSION","FR0P Conversion"
"Adamus,Janusz A","Adamus,Janusz A","PI",230300,"Mathematics","0000024118","","Effective Methods in Geometry of Polynomial Mappings","2009-11-02","2009-11-12","NEW","Declined","","0000-00-00","0000-00-00","F","40000.000","Y","N","$140,000.00","ONTARIO MINISTRY RESEARCH & INNOVATION","EARLY RESEARCHER AWARD","ROUND 6 - 2009 FALL COMPETITION","Geometry"
"Adamus,Janusz A","Adamus,Janusz A","PI",230300,"Mathematics","0000024118","","Effective Methods in Geometry of Polynomial Mappings","2009-11-02","2009-11-12","NEW","Declined","","0000-00-00","0000-00-00","F","40000.000","Y","N","$140,000.00","ONTARIO MINISTRY RESEARCH & INNOVATION","EARLY RESEARCHER AWARD","ROUND 6 - 2009 FALL COMPETITION","Polynomial Mappings"
"Adamus,Janusz A","Adamus,Janusz A","PI",230300,"Mathematics","0000026318","","Effective Methods in Geometry of Polynomial Mappings","2010-09-07","2010-09-20","NEW","Declined","","0000-00-00","0000-00-00","F","40000.000","Y","N","$190,000.00","ONTARIO MINISTRY RESEARCH & INNOVATION","EARLY RESEARCHER AWARD","ROUND 7 - 2010 FALL COMPETITION - FULL APPLICATION","Algebraic Geometry"
"Adamus,Janusz A","Adamus,Janusz A","PI",230300,"Mathematics","0000026318","","Effective Methods in Geometry of Polynomial Mappings","2010-09-07","2010-09-20","NEW","Declined","","0000-00-00","0000-00-00","F","40000.000","Y","N","$190,000.00","ONTARIO MINISTRY RESEARCH & INNOVATION","EARLY RESEARCHER AWARD","ROUND 7 - 2010 FALL COMPETITION - FULL APPLICATION","Polynomial Mappings"
"Adamus,Janusz A","Adamus,Janusz A","PI",230300,"Mathematics","0000027216","","Latest Developments in Singularity Theory Workshop","2010-11-08","2009-08-15","NEW","Declined","","0000-00-00","0000-00-00","N","0.000","N","N","$6,700.00","RW INTERNAL RESEARCH PROGRAMS","INTERNATIONAL RESEARCH AWARD","2009 SPRING COMPETITION","Workshops"
"Adamus,Janusz A","Adamus,Janusz A","PI",230300,"Mathematics","0000031930","R4166A02001","LOCAL GEOMETRY OF REAL AND COMPLEX ANALYTIC MAPPINGS","2012-10-22","2012-11-01","RNW","Accepted","Accepted","2013-04-01","2018-03-31","N","0.000","N","N","$189,000.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","2012 FALL COMPETITION - FULL APPLICATION","FR0P Conversion"
"Adamus,Janusz A","Adamus,Janusz A","PI",230300,"Mathematics","0000032314","R4166A03","2012 Doctoral Supervision Internal Grant (DSIG - Adamus)","2013-01-02","2012-05-01","NEW","Accepted","Accepted","2012-05-01","2014-04-30","N","0.000","N","N","$4,000.00","UWO INTERNAL SCIENCE","DOCTORAL SUPERVISION INTERNAL GRANT","2012 DSIG","Graduate Supervision"
"Ahmady,Mohammad R.","Ahmady,Mohammad R.","PI",230400,"Applied Mathematics","0000017414","","B PHYSICS","2009-09-11","1999-11-01","NEW","Declined","","0000-00-00","0000-00-00","N","0.000","N","N","$73,500.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","1999 - CONVERSION","FR0P Conversion"
"Al-Ekabi,Hussain","Al-Ekabi,Hussain","PI",230600,"Chemistry","0000016985","R2696A02","INNOVATIVE OXIDATION TECHNOLOGY FOR PULP AND PAPER AIR E","2009-09-11","1996-03-22","NEW","Accepted","Closed","1996-04-01","1997-03-31","N","0.000","N","N","$43,000.00","NETWORK CENTRES OF EXCELLENCE","SUSTAINABLE FOREST MANAGEMENT","1996 - CONVERSION","FR0P Conversion"
"Al-Ekabi,Hussain","Weedon,Alan C","CPI",230600,"Chemistry","0000016985","R2696A02","INNOVATIVE OXIDATION TECHNOLOGY FOR PULP AND PAPER AIR E","2009-09-11","1996-03-22","NEW","Accepted","Closed","1996-04-01","1997-03-31","N","0.000","N","N","$43,000.00","NETWORK CENTRES OF EXCELLENCE","SUSTAINABLE FOREST MANAGEMENT","1996 - CONVERSION","FR0P Conversion"
"Allnatt,Alan R","Allnatt,Alan R","PI",230600,"Chemistry","0000015430","R1386A01","CRYSTALS-SOLIDS-FLUIDS-THERMAL","2009-09-11","1978-01-11","NEW","Accepted","Closed","1979-04-01","1980-03-31","N","0.000","N","N","$122,643.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","1978 - CONVERSION","FR0P Conversion"
"Allnatt,Alan R","Allnatt,Alan R","PI",230600,"Chemistry","0000015431","R1386A01001","STATISTICAL MECHANICS","2009-09-11","1979-11-01","RNW","Accepted","Closed","1980-04-01","1983-03-31","N","0.000","N","N","$127,138.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","1979 - CONVERSION","FR0P Conversion"
"Allnatt,Alan R","Allnatt,Alan R","PI",230600,"Chemistry","0000015432","R1386A01002","STATISTICAL MECHANICS,THERMAL","2009-09-11","1982-11-01","RNW","Accepted","Closed","1983-04-01","1986-03-31","N","0.000","N","N","$187,722.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","1982 - CONVERSION","FR0P Conversion"
"Allnatt,Alan R","Allnatt,Alan R","PI",230600,"Chemistry","0000015433","R1386A01003","STATISTICAL MECHANICS","2009-09-11","1985-11-01","RNW","Accepted","Closed","1986-04-01","1989-03-31","N","0.000","N","N","$194,820.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","1985 - CONVERSION","FR0P Conversion"
"Allnatt,Alan R","Allnatt,Alan R","PI",230600,"Chemistry","0000015434","R1386A01004","STATIST.MECHANICS OF TRANSPORT","2009-09-11","1988-11-01","RNW","Accepted","Closed","1989-04-01","1992-03-31","N","0.000","N","N","$212,070.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","1988 - CONVERSION","FR0P Conversion"
"Allnatt,Alan R","Allnatt,Alan R","PI",230600,"Chemistry","0000015435","R1386A01005","STATISTICAL MECHANICS MATTER","2009-09-11","1991-11-01","RNW","Accepted","Closed","1992-04-01","1995-03-31","N","0.000","N","N","$274,410.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","1991 - CONVERSION","FR0P Conversion"
"Allnatt,Alan R","Allnatt,Alan R","PI",230600,"Chemistry","0000015436","R1386A01006","STATISTICAL MECHANICS OF MATTER TRANSPORT IN CONDENSED P","2009-09-11","1994-11-01","RNW","Accepted","Closed","1995-04-01","2000-03-31","N","0.000","N","N","$198,556.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","1994 - CONVERSION","FR0P Conversion"
"Anderson,C Lindsay","Anderson,C Lindsay","PI",230400,"Applied Mathematics","0000004308","R3579A03","INTERNSHIP - WANG, SHARON : HEDGING PROPERTY AND CASUALT","2009-09-11","2006-06-30","NEW","Accepted","Closed","2006-09-01","2008-03-31","N","0.000","N","N","$15,000.00","NETWORK CENTRES OF EXCELLENCE","MITACS INTERNSHIP","2006 - CONVERSION","FR0P Conversion"
"Andrews,James H","Andrews,James H","PI",231100,"Computer Science","0000017193","R2843A01","FORMAL METHODS IN SOFTWARE SPECIFICATION, TESTING AND VE","2009-09-11","1997-11-01","NEW","Accepted","Closed","1998-04-01","2002-03-31","N","0.000","N","N","$171,875.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","1997 - CONVERSION","FR0P Conversion"
"Andrews,James H","Andrews,James H","PI",231100,"Computer Science","0000017194","R2843A01001","APPLICATIONS OF LOGIC AND STATE MACHINES TO SOFTWARE ENG","2009-09-11","2001-11-01","RNW","Accepted","Closed","2002-04-01","2006-03-31","N","0.000","N","N","$140,100.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","2001 - CONVERSION","FR0P Conversion"
"Andrews,James H","Andrews,James H","PI",231100,"Computer Science","0000017195","R2843A01002","EFFICIENT, EFFECTIVE METHODS OF SOFTWARE VERIFICATION AN","2009-09-11","2005-11-01","RNW","Accepted","Closed","2006-04-01","2011-03-31","N","0.000","N","N","$364,700.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","2005 - CONVERSION","FR0P Conversion"
"Andrews,James H","Andrews,James H","PI",231100,"Computer Science","0000017196","R2843A02","VISITING SCIENTIST - ANDREWS, JAMES H.","2009-09-11","1999-07-01","NEW","Accepted","Closed","1999-07-01","2008-06-30","N","0.000","N","N","$6,000.00","IBM CANADA LTD","VISITING SCIENTIST","1999 - CONVERSION","FR0P Conversion"
"Andrews,James H","Andrews,James H","PI",231100,"Computer Science","0000017197","R2843A03","RELIABILITY AND QUALITY ASSURANCE OF PUBLIC NETWORK SOFT","2009-09-11","2000-03-06","NEW","Accepted","Closed","2000-09-01","2003-12-31","N","0.000","N","N","$56,680.00","ONTARIO CENTRES EXCELLENCE INC","CENTRE OF EXCELLENCE FOR COMMUNICATIONS AND INFORMATION TECH","2000 - CONVERSION","FR0P Conversion"
"Andrews,James H","Andrews,James H","PI",231100,"Computer Science","0000017198","R2843A04","RELIABILITY AND QUALITY ASSURANCE OF PUBLIC NETWORK SOFT","2009-09-11","2001-09-01","NEW","Accepted","Closed","2001-09-01","2004-08-31","N","0.000","N","N","$20,000.00","NOKIA","RESEARCH GRANT","2001 - CONVERSION","FR0P Conversion"
"Andrews,James H","Andrews,James H","PI",231100,"Computer Science","0000017199","R2843A05","START UP FUNDS","2009-09-11","2001-08-01","NEW","Accepted","Closed","2001-05-01","2003-03-31","N","0.000","N","N","$20,559.00","UWO INTERNAL SCIENCE","INTERNAL FUNDING","2001 - CONVERSION","FR0P Conversion"
"Andrews,James H","Andrews,James H","PI",231100,"Computer Science","0000017200","R2843000","OVERHEAD RECOVERY","2009-09-11","2005-11-28","ICA","Accepted","Accepted","2001-08-01","2014-04-30","N","0.000","N","N","$1.00","UWO RESEARCH OVERHEADS","ALLOCATIONS FROM RESEARCH OVERHEADS","2005 - CONVERSION","FR0P Conversion"
"Andrews,James H","Andrews,James H","PI",231100,"Computer Science","0000018716","X1277A75","OVERHEAD RECOVERY - ANDREWS, JAMES H.","2009-09-11","2001-01-01","NEW","Accepted","Closed","2001-08-01","2006-04-30","N","0.000","N","N","$1.00","UWO RESEARCH OVERHEADS","ALLOCATIONS FROM RESEARCH OVERHEADS","2001 - CONVERSION","FR0P Conversion"
"Andrews,James H","Andrews,James H","PI",231100,"Computer Science","0000025838","R2843A23","Contact and discussions with Research In Motion (RIM)","2010-06-21","2010-06-21","NEW","Accepted","Closed","2010-06-28","2010-09-28","N","0.000","N","N","$1,165.20","NATURAL SCIENCES &  ENGINEERING RESEARCH","INTERACTION GRANTS PROGRAM","2010 OPEN COMPETITION","Software Development"
"Andrews,James H","Andrews,James H","PI",231100,"Computer Science","0000025838","R2843A23","Contact and discussions with Research In Motion (RIM)","2010-06-21","2010-06-21","NEW","Accepted","Closed","2010-06-28","2010-09-28","N","0.000","N","N","$1,165.20","NATURAL SCIENCES &  ENGINEERING RESEARCH","INTERACTION GRANTS PROGRAM","2010 OPEN COMPETITION","Software Quality"
"Andrews,James H","Andrews,James H","PI",231100,"Computer Science","0000025838","R2843A23","Contact and discussions with Research In Motion (RIM)","2010-06-21","2010-06-21","NEW","Accepted","Closed","2010-06-28","2010-09-28","N","0.000","N","N","$1,165.20","NATURAL SCIENCES &  ENGINEERING RESEARCH","INTERACTION GRANTS PROGRAM","2010 OPEN COMPETITION","Software Testing"
"Andrews,James H","Andrews,James H","PI",231100,"Computer Science","0000027062","","Development of High-Quality, Accessible Software","2010-10-26","2010-11-01","NEW","Withdrawn","","0000-00-00","0000-00-00","N","0.000","N","N","$474,950.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","2010 FALL COMPETITION - FULL APPLICATION","Handicapped or Disabled (Health or Safety or Medical)"
"Andrews,James H","Andrews,James H","PI",231100,"Computer Science","0000027062","","Development of High-Quality, Accessible Software","2010-10-26","2010-11-01","NEW","Withdrawn","","0000-00-00","0000-00-00","N","0.000","N","N","$474,950.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","2010 FALL COMPETITION - FULL APPLICATION","Information And Communication Technology"
"Andrews,James H","Andrews,James H","PI",231100,"Computer Science","0000027371","R2843A24","Software testing:  Creating smart, flexible tests from b","2010-12-10","2010-12-10","NEW","Accepted","Closed","2011-03-01","2011-08-31","N","0.000","N","N","$10,750.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","ENGAGE GRANTS","2010 OPEN COMPETITION","Communications Systems"
"Andrews,James H","Andrews,James H","PI",231100,"Computer Science","0000027371","R2843A24","Software testing:  Creating smart, flexible tests from b","2010-12-10","2010-12-10","NEW","Accepted","Closed","2011-03-01","2011-08-31","N","0.000","N","N","$10,750.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","ENGAGE GRANTS","2010 OPEN COMPETITION","Software Quality"
"Andrews,James H","Andrews,James H","PI",231100,"Computer Science","0000027371","R2843A24","Software testing:  Creating smart, flexible tests from b","2010-12-10","2010-12-10","NEW","Accepted","Closed","2011-03-01","2011-08-31","N","0.000","N","N","$10,750.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","ENGAGE GRANTS","2010 OPEN COMPETITION","Software Testing"
"Andrews,James H","Andrews,James H","PI",231100,"Computer Science","0000028110","R2843A01003","Development of High-Quality, Accessible Software","2011-04-11","2010-11-01","RNW","Accepted","Closed","2011-04-01","2012-03-31","N","0.000","N","N","$468,950.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","2010 FALL COMPETITION - FULL APPLICATION","Handicapped or Disabled (Health or Safety or Medical)"
"Andrews,James H","Andrews,James H","PI",231100,"Computer Science","0000028110","R2843A01003","Development of High-Quality, Accessible Software","2011-04-11","2010-11-01","RNW","Accepted","Closed","2011-04-01","2012-03-31","N","0.000","N","N","$468,950.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","2010 FALL COMPETITION - FULL APPLICATION","Information And Communication Technology"
"Andrews,James H","Andrews,James H","PI",231100,"Computer Science","0000029471","","Testing and Debugging: Connecting Research with Practice","2011-10-25","2011-11-01","NEW","Declined","","0000-00-00","0000-00-00","N","0.000","N","N","$281,200.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","2011 FALL COMPETITION - FULL APPLICATION","Computer and Information Sciences"
"Andrews,James H","Andrews,James H","PI",231100,"Computer Science","0000030593","R2843A01004","Development of High-Quality, Accessible Software","2012-04-09","2011-11-01","RNW","Accepted","Accepted","2012-04-01","2017-03-31","N","0.000","N","N","$281,200.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","2011 FALL COMPETITION - FULL APPLICATION","Information And Communication Technology"
"Ankney,C D","Ankney,C D","PI",231000,"Zoology","0000014768","R1733A01","ECOLOGY HISTORY & GENERALITIES","2009-09-11","1978-10-03","NEW","Accepted","Closed","1979-04-01","1982-03-31","N","0.000","N","N","$58,410.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","COMMON ACCOUNT","1978 - CONVERSION","FR0P Conversion"
"Ankney,C D","Ankney,C D","PI",231000,"Zoology","0000014769","R1733A01001","FEEDING ECOLOGY OF BIRDS","2009-09-11","1981-11-01","RNW","Accepted","Closed","1982-04-01","1985-03-31","N","0.000","N","N","$105,385.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","1981 - CONVERSION","FR0P Conversion"
"Ankney,C D","Ankney,C D","PI",231000,"Zoology","0000014770","R1733A01002","BREEDING BIOLOGY OF BIRDS","2009-09-11","1984-11-01","RNW","Accepted","Closed","1985-04-01","1988-03-31","N","0.000","N","N","$206,578.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","1984 - CONVERSION","FR0P Conversion"
"Ankney,C D","Ankney,C D","PI",231000,"Zoology","0000014771","R1733A01003","ECOLOGICAL ENERGETICS,FEED ECO","2009-09-11","1987-11-01","RNW","Accepted","Closed","1988-04-01","1991-03-31","N","0.000","N","N","$236,142.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","1987 - CONVERSION","FR0P Conversion"
"Ankney,C D","Ankney,C D","PI",231000,"Zoology","0000014772","R1733A01004","ECOLOGICAL ENERGETICS OF BIRDS","2009-09-11","1990-11-01","RNW","Accepted","Closed","1991-04-01","1994-03-31","N","0.000","N","N","$283,180.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","1990 - CONVERSION","FR0P Conversion"
"Ankney,C D","Ankney,C D","PI",231000,"Zoology","0000014773","R1733A01005","ECOLOGICAL ENERGETICS BIRDS","2009-09-11","1993-11-01","RNW","Accepted","Closed","1994-04-01","1998-03-31","N","0.000","N","N","$299,071.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","1993 - CONVERSION","FR0P Conversion"
"Ankney,C D","Ankney,C D","PI",231000,"Zoology","0000014776","R1733A03","SUMMER CAREER PLACEMENT 1997","2009-09-11","1997-03-27","NEW","Accepted","Closed","1997-06-02","1997-08-22","N","0.000","N","N","$3,312.00","HUMAN RESOURCES & SKILLS DEVELOPMENT CAN","SUMMER CAREER PLACEMENT PROGRAM","1997 - CONVERSION","FR0P Conversion"
"Ankney,C D","Ankney,C D","PI",231000,"Zoology","0000014777","R1733A04","LANDSCAPE LEVEL EVALUATION OF HABITAT USE BY BREEDING BL","2009-09-11","1998-02-12","NEW","Accepted","Closed","1998-01-01","2001-03-31","N","0.000","N","N","$7,800.00","ENVIRONMENT CANADA","CANADIAN WILDLIFE SERVICE","1998 - CONVERSION","FR0P Conversion"
"Ankney,C D","Ankney,C D","PI",231000,"Zoology","0000014778","R1733A05","NTG - STEVE TIMMERMANS","2009-09-11","1998-03-27","NEW","Accepted","Closed","1998-04-01","1999-03-31","N","0.000","N","N","$6,000.00","FUNDS TRANSFER ACCOUNTS","FTA INDIAN NORTHERN AFFAIRS","1998 - CONVERSION","FR0P Conversion"
"Ankney,C D","Ankney,C D","PI",231000,"Zoology","0000014779","R1733A06","NTG - ZIMMERLING","2009-09-11","1997-03-26","NEW","Accepted","Closed","1998-04-01","2000-03-31","N","0.000","N","N","$5,700.00","FUNDS TRANSFER ACCOUNTS","FTA INDIAN NORTHERN AFFAIRS","1997 - CONVERSION","FR0P Conversion"
"Ankney,C D","Ankney,C D","PI",231000,"Zoology","0000014780","R1733A07","SUMMER CAREER PLACEMENT 1998","2009-09-11","1998-03-27","NEW","Accepted","Closed","1998-05-01","1998-08-31","N","0.000","N","N","$23,184.00","HUMAN RESOURCES & SKILLS DEVELOPMENT CAN","SUMMER CAREER PLACEMENT PROGRAM","1998 - CONVERSION","FR0P Conversion"
"Ankney,C D","Ankney,C D","PI",231000,"Zoology","0000014781","R1733A08","ANALYSES OF BIRD SAMPLES","2009-09-11","1998-08-19","NEW","Accepted","Closed","1998-10-01","2000-12-31","N","0.000","N","N","$1.00","U S INTERIOR DEPT","FISH & WILDLIFE SERVICE","1998 - CONVERSION","FR0P Conversion"
"Ankney,C D","Ankney,C D","PI",231000,"Zoology","0000014782","R1733A09","COMPARATIVE REPRODUCTIVE PERFORMANCE OF MALLARD AND WOOD","2009-09-11","1999-01-01","NEW","Accepted","Closed","1999-01-01","2000-12-31","N","0.000","N","N","$30,000.00","DELTA WATERFOWL FOUNDATION","RESEARCH GRANTS","1999 - CONVERSION","FR0P Conversion"
"Ankney,C D","Ankney,C D","PI",231000,"Zoology","0000014783","R1733A10","NTG - RICK KIBALENKO","2009-09-11","1999-05-14","NEW","Accepted","Closed","1999-04-01","2000-03-31","N","0.000","N","N","$3,250.00","FUNDS TRANSFER ACCOUNTS","FTA INDIAN NORTHERN AFFAIRS","1999 - CONVERSION","FR0P Conversion"
"Ankney,C D","Ankney,C D","PI",231000,"Zoology","0000014784","R1733A11","GRADUATE STUDENT SUPPORT - J. GLEASON - GEESE ON AKIMISK","2009-09-11","2001-09-01","NEW","Accepted","Closed","2001-09-01","2002-08-31","N","0.000","N","N","$7,200.00","WILDLIFE MANAGEMENT INSTITUTE","GRANTS-IN-AID OF RESEARCH","2001 - CONVERSION","FR0P Conversion"
"Ankney,C D","Ankney,C D","PI",231200,"Department of Biology","0000014774","R1733A01006","NUTRITIONAL ECOLOGY OF BIRDS","2009-09-11","1997-11-01","RNW","Accepted","Closed","1998-04-01","2003-03-31","N","0.000","N","N","$309,795.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","1997 - CONVERSION","FR0P Conversion"
"Ankney,C D","Ankney,C D","PI",231200,"Department of Biology","0000014775","R1733A02","ANALYSES OF VERTEBRATES - MULTIPLE SOURCE","2009-09-11","1985-03-14","NEW","Accepted","Accepted","1985-03-01","2014-02-28","N","0.000","N","N","$2,717.80","CORP VARIOUS","MINOR RESEARCH CONTRACTS","1985 - CONVERSION","FR0P Conversion"
"Ankney,C D","Ankney,C D","PI",231200,"Department of Biology","0000014785","R1733A12","HABITAT USE AND EFFECTS OF MIGRATING TUNDRA SWANS ON AQU","2009-09-11","2003-01-01","NEW","Accepted","Closed","2003-01-01","2003-03-31","N","0.000","N","N","$6,834.00","BIRD STUDIES CANADA","RESEARCH GRANT","2003 - CONVERSION","FR0P Conversion"
"Ankney,C D","Ankney,C D","PI",231200,"Department of Biology","0000014786","R1733A13"," CANADA SNOW GEESE  - GLEASON, J.","2009-09-11","2003-05-01","NEW","Accepted","Closed","2003-05-01","2003-10-31","N","0.000","N","N","$12,000.00","WILDLIFE MANAGEMENT INSTITUTE","GRANTS-IN-AID OF RESEARCH","2003 - CONVERSION","FR0P Conversion"
"Ankney,C D","Ankney,C D","PI",231200,"Department of Biology","0000014787","R1733000","OVERHEAD RECOVERY","2009-09-11","2005-11-28","ICA","Accepted","Accepted","1996-04-01","2014-04-30","N","0.000","N","N","$1.00","UWO RESEARCH OVERHEADS","ALLOCATIONS FROM RESEARCH OVERHEADS","2005 - CONVERSION","FR0P Conversion"
"Argall,Philip S","Argall,Philip S","PI",230800,"Physics & Astronomy","0000017011","R2610A01","DEVELOPMENT OF COMPOSITE TELESCOPE MIRROR PRODUCTION TEC","2009-09-11","2000-10-01","NEW","Accepted","Closed","2000-11-01","2002-03-31","N","0.000","N","N","$19,994.00","ONTARIO CENTRES EXCELLENCE INC","CEET - BUSINESS DEVELOPMENT PROGRAM","2000 - CONVERSION","FR0P Conversion"
"Argall,Philip S","Argall,Philip S","PI",230800,"Physics & Astronomy","0000017012","R2610A01001","DEVELOPMENT OF COMPOSITE TELESCOPE MIRROR PRODUCTION TEC","2009-09-11","2001-09-17","RNW","Accepted","Closed","2001-05-01","2002-03-31","N","0.000","N","N","$30,006.00","ONTARIO CENTRES EXCELLENCE INC","CEET - BUSINESS DEVELOPMENT PROGRAM","2001 - CONVERSION","FR0P Conversion"
"Argall,Philip S","Argall,Philip S","PI",230800,"Physics & Astronomy","0000017013","","STUDY OF NEW MICROWAVE ANTENNAE PRODUCTION TECHNIQUE","2009-09-11","2001-09-17","NEW","Declined","","0000-00-00","0000-00-00","N","0.000","N","N","$30,000.00","ONTARIO CENTRES EXCELLENCE INC","CEET - CORE RESEARCH PROGRAM","2001 - CONVERSION","FR0P Conversion"
"Argall,Philip S","Argall,Philip S","PI",230800,"Physics & Astronomy","0000017014","","STUDY OF NEW MICROWAVE ANTENNAE PRODUCTION TECHNIQUE","2009-09-11","2001-09-17","NEW","Declined","","0000-00-00","0000-00-00","N","0.000","N","N","$30,000.00","ONTARIO CENTRES EXCELLENCE INC","CEET - BUSINESS DEVELOPMENT PROGRAM","2001 - CONVERSION","FR0P Conversion"
"Argall,Philip S","Argall,Philip S","PI",230800,"Physics & Astronomy","0000017015","R2610A02","DEVELOPMENT OF A SIMULATOR FOR THE ESA ADM-ALEOUS, ALADI","2009-09-11","2004-03-19","NEW","Accepted","Accepted","2004-03-01","2013-06-30","N","0.000","N","N","$62,120.00","MACDONALD DETWILLER & ASSOC","CONTRACTS","2004 - CONVERSION","FR0P Conversion"
"Argall,Philip S","Argall,Philip S","PI",230800,"Physics & Astronomy","0000017016","","VALIDATION OF AEOLUS SATELLITE LIDAR WINDS BY WINDPROFIL","2009-09-11","2009-10-09","NEW","Declined","","0000-00-00","0000-00-00","N","0.000","N","N","$391,230.00","CANADIAN SPACE AGENCY","GRANT","2009 - CONVERSION","FR0P Conversion"
"Argall,Philip S","Argall,Philip S","PI",230800,"Physics & Astronomy","0000018745","X1277A96","OVERHEAD RECOVERY FOR ARGALL, STEPHEN","2009-09-11","2004-02-26","NEW","Accepted","Closed","2004-03-01","2006-04-30","N","0.000","N","N","$1.00","UWO RESEARCH OVERHEADS","ALLOCATIONS FROM RESEARCH OVERHEADS","2004 - CONVERSION","FR0P Conversion"
"Argall,Philip S","Argall,Philip S","PI",230800,"Physics & Astronomy","0000018874","X0930A04","MIDDLE ATMOSPHERE STUDIES USING LIDAR","2009-09-11","1994-12-14","NEW","Accepted","Closed","1995-04-01","1996-12-31","N","0.000","N","N","$325,000.00","CANADIAN SPACE AGENCY","CNSR TRANSITION FUNDING","1994 - CONVERSION","FR0P Conversion"
"Argall,Philip S","Sica,Robert J","CPI",230800,"Physics & Astronomy","0000017011","R2610A01","DEVELOPMENT OF COMPOSITE TELESCOPE MIRROR PRODUCTION TEC","2009-09-11","2000-10-01","NEW","Accepted","Closed","2000-11-01","2002-03-31","N","0.000","N","N","$19,994.00","ONTARIO CENTRES EXCELLENCE INC","CEET - BUSINESS DEVELOPMENT PROGRAM","2000 - CONVERSION","FR0P Conversion"
"Argall,Philip S","Sica,Robert J","CPI",230800,"Physics & Astronomy","0000017012","R2610A01001","DEVELOPMENT OF COMPOSITE TELESCOPE MIRROR PRODUCTION TEC","2009-09-11","2001-09-17","RNW","Accepted","Closed","2001-05-01","2002-03-31","N","0.000","N","N","$30,006.00","ONTARIO CENTRES EXCELLENCE INC","CEET - BUSINESS DEVELOPMENT PROGRAM","2001 - CONVERSION","FR0P Conversion"
"Atkinson,Burr G","Atkinson,Burr G","PI",231000,"Zoology","0000014957","R1832A01","ANIMAL BIOCHEMISTRY","2009-09-11","1978-10-03","NEW","Accepted","Closed","1979-04-01","1982-03-31","N","0.000","N","N","$110,310.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","COMMON ACCOUNT","1978 - CONVERSION","FR0P Conversion"
"Atkinson,Burr G","Atkinson,Burr G","PI",231000,"Zoology","0000014958","R1832A01001","REGULATION OF GENE EXPRESSION","2009-09-11","1981-11-01","RNW","Accepted","Closed","1982-04-01","1983-03-31","N","0.000","N","N","$190,777.00","NATURAL SCIENCES &  ENGINEERING RESEARCH","DISCOVERY GRANTS","1981 - CONVERSION","FR0P Conversion"
