Name,Degrees,Department,Department2,Rank,AdministrativePosition,Faculty
"Akincioglu,Cigdem ",MD at TURKU ; at UCAL-BERK ,Department of Medical Imaging ,,Associate Professor/MD ,,Schulich
"Akinlosotu,Adewale A ",MbChB NGA Obafemi Awolowo Univ ,Schulich - Education Office/Psychiatry - Ext Camp Program ,,Adjunct/MD ,,Schulich
"Al Tarhuni,Nehal ","BSc, DDS Western ",Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Al-Areibi,Arif R ",MD Al-Arab Medical Univ Libyan Arab Jamahiriya ,Anesthesia-Perioperative Med ,,Assistant Professor/MD ,,Schulich
"Al-Dhaher,Firas Fadhel ","BS, MD Western ",Family Medicine - General ,,Adjunct/MD ,Program Director ,Schulich
"Al-Dweik,Arafat ","Bachelor, Yarmouk Univ, Jordan; MSc, Cleveland; PhD., Cleveland State Univ ",Electrical & Computer ,,Adjunct Research Professor ,,Engineering
"Al-Osman,Abdulrahman ","DDS, DIP PERIODONTICS Mantiboa; DIP. PROSTHODONTICS Damasucs, Syria; ",Dentistry ,,Assistant Professor ,,Schulich
"Al-Rais,Reta ",DDS Western ,Dentistry ,,Adjunct Clinical Professor ,,Schulich
"Al-Tatari,Hossam M ",MD Univ Med School Debrecen Hungary ,Schulich - Education Office/Paediatrics ,,Adjunct/MD ,,Schulich
"Ala,Brigitte Darleen ","BSc U of Windsor, MD Western ",Schulich - Education Office/Department of Medicine ,,Adjunct/MD ,,Schulich
"Alam,Huma Aftab ","BS, MB Punjab U Pakistan ",Family Medicine - General ,,Adjunct/MD ,,Schulich
"Alam,Muhammad Mumtaz ","MBBS King Edward Medical Univ, PAK; ",Family Medicine - General ,,Adjunct/MD ,,Schulich
"Alam,Yasmin Zeenat ",MD at DHAKA/DACCA ,Schulich - Education Office/Oncology ,,Adjunct/MD ,,Schulich
"Albanese,Mary Lou ",BSN Univ of Toronto; ,Nursing ,,Lecturer ,,Health Sciences
"Albion,Katherine Jennifer ","BESc, Ph.D. Western ",Chemical &Biochem Engineering ,,Adjunct Research Professor ,,Engineering
