Name,Degrees,Department,Department2,Rank,AdministrativePosition,Faculty
"Fielding,Helen ","BJ Carleton; MA, Ph.D. York; ",Womens' Studies/Philosophy ,,Associate Professor ,Department Chair ,Arts & Humanities
"Figlewicz,Denise ","BS, Ph.D. Loyola Univ Chicago USA ",Schulich - Office of the Dean ,,Professor ,Vice Dean ,Schulich
"Filler,Guido ",MD FRCPCan ,Paediatrics/Pathology/Department of Medicine/Schulich -Off ,,Professor/MD ,,Schulich
"Findley,Linda M ","BA, LONDON TEACHER'S COLLEGE, MEd ; ",Education - Preservice Office ,,Lecturer ,,Education
"Finegan,Joan Ellen ","BSc Toronto; MA, Ph.D. ; ",Soc Science - Office of Dean ,,Associate Professor ,Associate Dean (Studt Affairs) ,Social Science
"Finestone,Hillel M ",CCFPC FRCPCan BSc MDCM at MCGILL ,Physical Medicine and Rehab ,,Adjunct/MD ,,Schulich
"Finger,Elizabeth ",MD at CORNELL ; BA at HARVARD ,Clinical Neurological Science ,,Assistant Professor/MD ,,Schulich
"Finn,Brian R ",BA at HARVARD ; MD at OTTAWA ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Finnbogason,Cole ",BA Western ,Business - Associate Dean ,,Lecturer ,,Ivey
"Finnie,Keith J ",FRCPCan MBChB at ABERDEEN ,Department of Medicine ,,Professor/MD ,,Schulich
"Finnigan,Brian Francis ","Bachelors, Masters Ontario ",Education - Preservice Office ,,Lecturer ,,Education
"Finnigan,Craig Stewart ","BSc Western, Ph.D. Univ of Toronto ",Earth Sciences ,,Adjunct Research Professor ,,Science
"Fischer,David Andrew ","Professional, Bachelors ON ",Department of Medicine ,,Adjunct/MD ,,Schulich
"Fischer,Linda Betty ",BA U of Waterloo; MSW Wilfrid Laurier ,Family Medicine - General ,,Lecturer ,,Schulich
"Fischer,Lisa K. ",CCFP DIPSPORTMED at CASM ; BSc MD at Western ,Kinesiology-Office of Director ,Family Medicine - General ,Assistant Professor/MD ,,Health Sciences
"Fisher,Barbara Jean ",FRCPCan BSc MD at Western ,Oncology ,,Professor/MD ,,Schulich
"Fisher,Grant Alan ","MS, BS Western ",Nursing ,,Assistant Professor ,,Health Sciences
"Fisher,Pauline ","BS, MS Western ",Nursing ,,Lecturer ,,Health Sciences
"Fisher,Randi B ","BS, MS Purdue; ",Communicative Sci & Disorders ,,Lecturer ,,Health Sciences
"Fisher,William ","BA Tel Aviv; MS, Ph.D. Purdue; THE UNIVERSITY OF WESTERN ONTARIO EXCELLENCE IN TEACHING AWARD (1989) ; Western Distinguished Professor ",Psychology ,Obstetrics & Gynaecology ,Professor ,,Social Science
"Fisk,Myrna Marie ",BSN Western ,Nursing ,,Lecturer ,,Health Sciences
"Fiske,Harold ","BMUS, MMUS Boston; Ph.D. Connecticut; ",Music - Office of the Dean ,,Professor Emeritus ,,Music
"Fisman,Michael ",FRCPCan MBBCh BSc DPM at WITWATERSRAN ,Psychiatry ,,Adjunct Professor ,,Schulich
"Fisman,Sandra Norma ",FRCPCan MBChB at WITWATERSRAN ,Paediatrics/Psychiatry/Schulich - Office of the Dean ,,Professor/MD ,,Schulich
"Fituri,Rasem I ",MBBCh at ALFATAH ,Department of Medicine/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Fitzsimmons,Deborah A ","BA, Ph.D. U of Central Lancashire GBR ",School of Health Studies ,,Assistant Professor ,,Health Studies
"Flaherty,David H ","BA McGill; MA, Ph.D. Columbia; ",History ,,Professor Emeritus ,,Social Science
"Flanagan,Peter R ",BSc at DUBLIN ; MSc Ph.D. at UBC ,Biochemistry/Schulich - Office of the Dean/Department of M ,,eAssociate Professor ,,Schulich
"Flath,James A. ","BA Regina; MA, Ph.D. Columbia; ",History ,,Associate Professor ,,Social Science
"Flatt,Carolyn Lee ",BS Western; MD Univ of Torontooronto ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Fleet,Michael E ","BSc, Ph.D. Manchester; FRSC ; ",Earth Sciences ,,Adjunct Research Professor/Professor Emeritus ,,Science
"Fleming,Dana Alan ",BSc MD at UBC ,Surgery/Schulich - Education Office/Schulich - Windsor Camp ,,Adjunct/MD ,Course Coordinator ,Schulich
"Fleming,Keith R ","BA, MA, Ph.D., MDiv Huron ",History ,,Associate Professor ,Department Chair ,Social Science
"Flemming,Roberta ","BSc Brock; MSc, Ph.D. Queen's; ",Earth Sciences ,,Associate Professor ,,Science
"Flint,Weston ","BA Harvard; MA, Ph.D. North Carolina; ",Modern Languages & Literatures ,,Professor Emeritus ,,Arts & Humanities
"Flintoff,Wayne F ","BSc, Ph.D. Alberta ",Microbiology & Immunology ,,Professor Emeritus ,,Schulich
"Florence,John B ",MA St Andrews; MSc Newcastle(UK); Ph.D. Simon Fraser; ,Mathematics ,,Professor Emeritus ,,Science
"Floryan,Jerzy M ",MSc Warsaw; PEng ; Ph.D. Virginia; ,Mechanical & Materials ,Applied Mathematics ,Professor ,Department Chair ,Engineering
"Floyd,Derek ","BA, MEd ; ",Education - Preservice Office ,,Lecturer ,,Education
"Flumerfelt,Brian A ","Ph.D. University of Cambridge, MSc McGill, BSc Concordia ",Anatomy & Cell Biology ,,Professor Emeritus ,,Schulich
"Foerster,Stephen R ",BA Western; CFA; MA; Ph.D. Pennsylvania ,Business - Associate Dean ,,Professor ,,Ivey
"Fogarty,Jennifer ",BA at MEMORIAL ; MASc Ph.D. at WATERLOO ,Psychiatry/Department of Medicine ,,Assistant Professor ,,Schulich
"Fok,Daniel ",Masters Univ of Toronto; KBO Univ of Waterloo ,Occupational Therapy ,,Assistant Professor ,,Health Sciences
"Folch-Serra,Mireya ","BA, MA McGill; Ph.D. Queen's; ",Geography ,,Professor Emeritus ,,Social Science
"Foley,Norine Catherine ","BASc., Univ of Guelph; MSc, Western ",Physical Medicine and Rehab ,,Adjunct Professor ,,Schulich
"Foley,Timothy Francis ",DDS at DALHOUSIE ; MClSc at Western ,Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Fonda,Marc V ","BA Brandon Univ, Ph.D. U of Ottawa ",Sociology ,,Adjunct Research Professor ,,Social Science
"Fonseka,Sujeewa D. ",BA at DARTMOUTH ; MD at MEMORIAL ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Forbes,Dorothy A ",BScN Queen's; MN Alberta; Ph.D. Alberta; ,Nursing ,,Adjunct Research Professor/Professor Emerita ,,Health Sciences
"Forbes,Lindsey Marie ",BA Western; MART Canada ,Psychology ,,Adjunct Clinical Professor ,,Social Science
"Forbes,Thomas Lawrence ",MD Univ of Toronto ,Surgery ,,Professor/MD ,Division Chair ,Schulich
"Forchuk,Cheryl ","BA, BScN Windsor; MScN Toronto; Ph.D. Wayne State; RegN ; ",Nursing ,Psychiatry ,Professor ,,Health Sciences
"Ford-Gilboe,Marilyn ","BScN, RegN ; MScN Toronto; Ph.D. Wayne State; ",Nursing ,Family Medicine - General ,Professor ,,Health Sciences
"Forster,Benjamin ","BA Ontario, Ph.D. Univ of Toronto ",History ,,Associate Professor ,,Social Science
"Forsyth,Janice Margaret ","BA, Ph.D. Western ",Kinesiology - General ,,Assistant Professor ,,Health Sciences
"Fortin,Dalilah ",MD MD FRCPCan at LAVAL ; FRCPCan FRCPCan at Western ,Oncology/Surgewry ,,Assistant Professor/MD ,,Schulich
"Forwell,Lorie Anne ","BSc. McGill Univ; MSc., Western ",Physical Therapy ,,Lecturer ,,Health Sciences
"Foss,Kenneth John ","BA, MA Ontario ",Education - Preservice Office ,,Lecturer ,,Education
"Foster,Jennifer ",BS McGill U; MD Dalhousie NS ,Paediatrics ,,Assistant Professor/MD ,,Schulich
"Foster,Paula J ",BSc MSc Ph.D. at GUELPH ,Medical Biophysics/Department of Medical Imaging/Robarts ,,#NAME?,,Schulich
"Fowler,Peter J ","BA, MD; FRCSCan ",Surgery ,,Professor Emeritus ,,Schulich
"Fox,A Mervyn ","MBBS, DCh London; FRCPCan ",Paediatrics ,,Professor Emeritus ,,Schulich
"Fox,Allan J ","BSc, MDCM McGill; FRCPCan ",Diagnost Radiol & Nuclear Med ,,Clinical Professor Emeritus ,,Schulich
"Fox,Michael A E ","BA, MA Univ of Windsor, Canterbury; Ph.D. Cambridge GBR ",English/Arts - Writing ,,Adjunct Research Professor ,,Arts & Humanities
"Foxcroft,Laura C ","BSc Waterloo, MD McMaster ",Department of Medicine ,,Assistant Professor/MD ,,Schulich
"Fraher,Laurence J ",Ph.D. at LONDON ; BSc at LONDON POLYT ,Department of Medicine ,,Professor Emeritus ,,Schulich
"Francis,Judith A ","BA McGill, Ph.D. Dalhousie NS ",Psychiatry ,,Adjunct Assistant Professor ,,Schulich
"Franck,Peter ","BMus, MA McGill; Ph.D. Rochester ",Music - Office of the Dean ,,Assistant Professor ,,Music
"Franklin,Ian ",Bachelors BC ,Music - Performance Studies ,,Lecturer ,,Music
"Franz,Matthias ","Diplom Konstanz Germany, Ph.D. Konstanz Germany ",Mathematics ,,Assistant Professor ,,Science
"Fraser,Carolyn Anne ","BA, MA Ontario ",Education - Preservice Office ,,Lecturer ,,Education
"Fraser,Donald A ",Ph.D. Princeton USA ,Statistics & Actuarial Science ,,Adjunct Research Professor ,,Science
"Fraser,Douglas ",Ph.D. MD at CALGARY ; FRCPCan at OTTAWA ,Paediatrics/Physiology and Pharmacology ,,Associate Professor/MD ,,Schulich
"Fraser,John Alexander ",BSc/MSc Dalhousie Univ NS ,Clinical Neurological Science ,,Assistant Professor/MD ,,Schulich
"Fraser,Kathleen D ","BA, MA, Ph.D. Western ",Arts - Writing ,,Assistant Professor ,,Arts & Humanities
"Fraser,Lisa-Ann ",BS Queen's Univ; MD Univ of Toronto ,Department of Medicine ,,Assistant Professor/MD ,,Schulich
"Frechette,Eric ",MD Univ of Montreal QC ,Surgery ,,Assistant Professor/MD ,,Schulich
"Frederick,Cathy E ",BA MD at Western ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Freeborn,Timothy Douglas ","BA Trent, MA UBC, Ph.D. Western ",English/Arts - Writing ,,Assistant Professor ,,Arts & Humanities
"Freed,Bruce ",BA Kenyon College; Ph.D. California(Berkeley); ,Philosophy ,,Professor Emeritus ,,Arts & Humanities
"Freedman,James M ","BA Johns Hopkins; MA, Ph.D. Princeton; ",Anthropology ,,Professor Emeritus ,,Social Science
"Freeman,David John ",MSc at ALBERTA ; BSc at CALGARY ; Ph.D. at Western ,Department of Medicine/Physiology and Pharmacology ,,Professor Emeritus ,,Schulich
"Freeman,Jeff M ",CCFP MD at Western ,Family Medicine - General ,,Assistant Professor/MD ,,Schulich
"Freeman,Tom Robert ",FCFPC BSc MD MClSc at Western ,Family Medicine ,,Professor/MD ,,Schulich
"Frehner,Paul ","BMUS, DMU McGill ",Music - Office of the Dean ,,Associate Professor ,,Music
"Fremeth,Adam ","BA Ontario, Ph.D. U of Minnesota ",Business - Associate Dean ,,Assistant Professor ,,Ivey
"Fresco,Estee ","BA, MEd ; ",Info & Media Studies - General ,,Lecturer ,,Information & Media Studies
"Freure,Jane ","Bachelors, Masters Ontario ",Physical Therapy ,,Lecturer ,,Health Sciences
"Frewen,Paul Andrew ",BA MA at Western ,Psychology ,Psychiatry ,Assistant Professor ,,Social Science
"Frewen,Timothy C ",FRCPCan FAAP BA MD at MCMASTER ,Paediatrics ,,Professor/Clinical MD ,,Schulich
"Frid,Pamela J. ",FRCPCan MD MEd at Queen's ,Paediatrics ,,Associate Professor/MD ,,Schulich
"Frideres,James S ","BSc Montana State Univ, Ph.D. Washington State Univ ",Sociology ,,Adjunct Research Professor ,,Social Science
"Fridman,Gerald H.L. ","BARRISTER-AT-LAW(MIDDLE TEMPLE), OF THE LAW SOCIETY OF UPPER CANADA, QC, FRSC ; BCL, MA Oxon; LLM Adelaide; ",Law - Office of the Dean ,,Professor Emeritus ,,Law
"Fried,Jana ",MS Jena DEU; Ph.D. Southampton GBR ,Geography ,,Assistant Professor ,,Social Science
"Friedman,Clive M ",BCHD(ENDO) Pretoria; BDS Witwatersrand; ,Paediatrics/Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Friedman,Manfred ",MS Jena DEU; Ph.D. Southampton GBR ,Dentistry ,,Assistant Professor ,,Schulich
"Friel,Raymond ",BOTH Univ College IRL ,Law - Office of the Dean ,,Professor ,,Law
"Friesen,Walter ","BA Ontario, Ph.D. BC ",Psychology ,Psychiatry ,Adjunct Clinical Professor ,,Social Science
"Frijters,Melanie Ann ",BS Univ of Windsor ,Nursing ,,Lecturer ,,Health Sciences
"Frizzell,Sherry Raylene ","BScN, MScN Western ",Nursing ,,Lecturer ,,Health Sciences
"Froelich,Heinrich ",Bachelor Germany; Ph.D. Ontario ,Physics and Astronomy ,,Professor Emeritus ,,Science
"Frohmann,Bernd P ","BA, MA, MLS, Ph.D. Toronto; ",Info & Media Studies - General ,,Adjunct Associate Professor/Professor Emeritus ,,Information & Media Studies
"Frolow,Jason N. ","MSc and DDS, Western ",Dentistry ,,Adjunct Clinical Professor ,,Schulich
"Frost,Ann ",BComm British Columbia; MSc BC; Ph.D. M.I.T.; ,Business - Associate Dean ,,Associate Professor ,,Ivey
"Frost,Tony ",BComm BC; Ph.D. M.I.T; ,Business - Associate Dean ,,Associate Professor ,,Ivey
"Fry,Joseph N ","BA Alberta, Ph.D. USA ",Business - Associate Dean ,,Professor Emeritus ,,Ivey
"Frydman,William ",DDS FRCDC ,Graduate Orthodontics ,,Adjunct Clinical Professor ,,Schulich
"Fthenos,Georgios ",BA Univ of Toronto; MART McMaster Univ ,Sociology ,,Lecturer ,,Social Science
"Fukui,Mitsume ",BA/MA Ontario ,Modern Languages & Literatures ,,Lecturer ,,Arts & Humanities
"Fulfer,Katherine Nicole ","BA Freed-Hardeman Univ USA; MA, Georgia State Univ, USA ",Womens' Studies ,,Lecturer ,,Arts & Humanities
"Fulford,Adrienne Elizabeth ","BS (Nursing), MS (Nursing) Western ",Nursing ,,Adjunct Assistant Professor ,,Health Sciences
"Fuller,John Geoffrey ",FRCPCan MD at Western ,Department of Medicine/Anesthesia-Perioperative Med/Schu ,,Professor/MD ,,Schulich
"Fullerton,Gary Michael ",MD Western ,Department of Medicine/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Fung,Kevin ",FACS FRCSCan at MICHIGAN ; MD at Queen's ; BA at Western ,Music - Performance Studies ,Oncology/otolaryngology/Schulich - Education Office ,Assistant Professor ,,Music
"Furtado,Norman ","BS, MD Western ",Family Medicine - General ,,Adjunct/MD ,,Schulich
"Fuss,Jeffrey William ",FRCPCan FRCPCan BSc BSc MD MD at Western ,Department of Medicine ,,Associate Professor/MD ,,Schulich
"Fyfe,William S ","CC; BSc, MSc, Ph.D. Otago(NZ); FRS, FRSC ; DSC(H) Guelph; DSC(H) Lakehead; DSC(H) Lisbon; DSC(H) Memorial; DSC(H) Otago; DSC(H) St. Mary's; DSC(H) Alberta; ",Earth Sciences ,,Professor Emeritus ,,Science
"Gabril,Manal ",MD MSc at EL-MINIA ; FRCPCan at MEMORIAL ; MSc at Western ,Pathology ,,Assistant Professor/MD ,,Schulich
"Gadanidis,George ","BEd, MEd, Ph.D. Toronto; BSc, MA Brock; ",Education - Office of the Dean ,,Associate Professor ,,Education
"Gaede,Stewart ",BSc at GUELPH ; Ph.D. at Western ,Medical Biophysics/Oncology ,,Assistant Professor ,,Schulich
"Gagnon,Mercedes ",Bachelors ON; Masters GBR ,Education - Continuing Educ ,,Lecturer ,,Education
"Gaily,Dean ","Degree, Ph.D. USA ",Physics and Astronomy ,,Professor Emeritus ,,Science
"Gain,Kaitlyn ","Bachelors, Masters Canada ",Occupational Therapy ,,Lecturer ,,Health Sciences
"Gaisinsky,Igor ",BSc MD at TORONTO ,Department of Medical Imaging ,,Adjunct/MD ,,Schulich
"Gall,James Murray ",MD at Western ,Family Medicine - General/Schulich - Education Office ,,Assistant Professor/MD ,,Schulich
"Gallagher,Sarah ","BA Yale, Ph.D. Penn State ",Physics and Astronomy ,,Assistant Professor ,,Science
"Gallant,Michelyn ",BA Ontario ,Education - Continuing Educ ,,Lecturer ,,Education
"Gallego,Patricia ","MD, MS Federal Univ of Parana BRA ",Paediatrics ,,Assistant Professor/MD ,,Schulich
"Galsworthy,Sara B ",BA Pomona College; Ph.D. Wisconsin ,Microbiology & Immunology ,,Professor Emerita ,,Schulich
"Gamble,Brian ",MD Western ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Gammal,Elias ",MB ChB Ain Shams; Ph.D. ,Anatomy & Cell Biology ,,Professor Emeritus ,,Schulich
"Gan,Bing Siang ",FRCSCan Ph.D. at CALGARY ; MD at ROTTERDAM ,Medical Biophysics/Surgery ,,Professor/MD ,,Schulich
"Ganapathy,Sugantha ",FRCPCan BSc MBBS at MADRAS ,Anesthesia-Perioperative Med ,,Professor/MD ,,Schulich
"Gandz,Jeffrey ","MBA, Ph.D. York(Can); ",Business - Associate Dean ,,Professor ,,Ivey
"Gangam,Hema ",BS McMaster; MD JSS Medical College IND ,Paediatrics/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Ganjavi,Hooman ",BS Laurentian Univ; MD Univ of Toronto ,Psychiatry ,,Assistant Professor/MD ,,Schulich
"Garbati,Jordana F ","BA, York Univ; Med., Queen's Univ ",Education - Preservice Office ,,Lecturer ,,Education
"Garber,Lawrence A ","BA, MA, Ph.D. Toronto; ",English ,,Professor Emeritus ,,Arts & Humanities
"Garcia-Allen,Ana ",BA/Prof Designation Spain ,Modern Languages & Literatures ,,Lecturer ,,Arts & Humanities
"Garcia,Bertha ",FRCPCan BSc MD at CAYETANO ; MEd at TORONTO ,Schulich - Office of the Dean/Pathology ,,Professor/MD ,Vice Dean ,Schulich
"Garcia,Carla Susana ",FRCPsych at TORONTO ; HBSc MD at Western ,Oncology/Psychiatry ,,Assistant Professor/MD ,,Schulich
"Gardiner,Joan Diane ",BA at BROCK ; MClSc at Western ,Psychiatry ,,Lecturer ,,Schulich
"Gardiner,Michael ","BA, MA Calgary; Ph.D. York; ",Sociology ,,Professor ,,Social Science
"Gardiner,Richard Buchanan ",BSc Trent; Ph.D. ; ,Biology ,,Assistant Professor ,,Science
"Gardner,Robert C ","BSc Alberta; MSc, Ph.D. McGill; ",Psychology ,,Professor Emeritus ,,Social Science
"Garg,Amit ",Ph.D. at MCMASTER ; MD MA at TORONTO ; BSc at Western ,Department of Medicine/Epidemiology and Biostatistics ,,Professor/MD ,,Schulich
"Garg,Divya ","BS, Univ of Toronto; MD, McMaster Univ ",Family Medicine - General ,,Adjunct/MD ,,Schulich
"Garg,Pallav ",MBBS U of Melbourne Australia ,Department of Medicine ,,Assistant Professor/MD ,,Schulich
"Gargantini,Irene ","BA., Ph.D., Milan ",Computer Science ,,Professor Emerita ,,Science
"Garland,Jayne ","BSc(PT), MCLSC(PT) ; Ph.D. McMaster; ",Physical Therapy ,,Adjunct Professor ,,Health Sciences
"Garnett,Joyce C ",BA/Prof Designation Spain ,Info & Media Studies - General ,,Lecturer ,,Information & Media Studies
"Garrousian,Mehdi ",BCHD(ENDO) Pretoria; BDS Witwatersrand; ,Mathematics ,,Assistant Professor ,,Science
"Garry,Leighann ",BSN York Univ ,Nursing ,,Lecturer ,,Health Sciences
"Garvin,Greg John ",MD Western ,Diagnost Radiol & Nuclear Med ,,Associate Professor/MD ,,Schulich
"Gassi,Gloria ","AMUS, ARCT Royal Conservatory; BMUS, MMUS ; ",Music - Performance Studies ,,Lecturer ,,Music
"Gaston,Anca ",BA McMaster Univ; Ph.D. Western ,Kinesiology-Office of Director ,,Adjunct Assistant Professor ,,Health Sciences
"Gaudet,Minnette G ","BA, MA, Ph.D. Washington; ",French Studies ,,Professor Emerita ,,Arts & Humanities
"Gauthier,Michelle A ","DDS Western, BSc Queen's ",Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Gawronski,Bertram ","MA Germany, Ph.D. Humboldt U Germany ",Psychology ,,Professor ,,Social Science
"Gebeyehu,Yidersal ",MD Jimna Inst of Health ETH ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Gecelovsky,Paul ","HBCom U of Windsor, Ph.D. U of Alberta ",Political Science ,,Assistant Professor ,,Social Science
"Gedalof,Allan J ",BA Newfoundland; MA Alberta; Ph.D. London; ,Film Studies ,,Professor Emeritus ,,Arts & Humanities
"Gelb,Adrian Walter ","MB, ChB U of CapeTown South Africa; DA, FRCPC UK/Canada/US ",Anesthesia-Perioperative Med ,,Professor Emeritus ,,Schulich
"Geleynse,Wyn C. ",No Degree ,Visual Arts ,,Adjunct Research Professor ,,Arts & Humanities
"Gelman,Neil ",Ph.D. at TORONTO ,Department of Medical Imaging/Medical Biophysics ,,Associate Professor ,,Schulich
"Gemmell,Corey ","BMUS, MMU Univ of Toronto ",Music - Performance Studies ,,Lecturer ,,Music
"George Michel,Karen Elizabeth ","BA, MA Ontario ",Nursing ,,Lecturer ,,Health Sciences
"George,Charles F ",FRCPCan BSc MD at DALHOUSIE ,Department of Medicine ,,Professor/MD ,,Schulich
"George,Ronald ",BMUS Toronto; ,Music - Performance Studies ,,Lecturer ,,Music
"Gerace,Rocco Vincent ",CCFPC FRCPCan MD at Western ,Department of Medicine ,,Professor/MD ,,Schulich
"Gerace,Toula Mary ","Bachelors, Masters Canada ",Family Medicine - General ,,Adjunct Assistant Professor ,,Schulich
"Gerber,Douglas E ","BA, MA Western; Ph.D. Toronto; ",Classical Studies ,,Professor Emeritus ,,Arts & Humanities
"Gergely,Gustav Gary ",BSc DDS at Western ,Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Gerges,Rafik Refaat Wessa ",Ph.D. Western ,Civil & Environmental ,,Adjunct Research Professor ,,Engineering
"Gerhard,Jason ","BA, BSc(Eng) Hons, MSc(Eng), Ph.D. Queen's ",Civil & Environmental/The Institute of Chem & Fuels ,,Associate Professor ,,Engineering
"Gerster,Jordan Clenell ",BS Western ,Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Getchell,Susan Margaret ","BA, MLS Western ",Info & Media Studies - General ,,Lecturer ,,Information & Media Studies
"Getgood,Alan ",MBCHB Edinburgh Univ Med GBR; MD U of Cambridge GBR ,Surgery ,,Assistant Professor/MD ,,Schulich
"Gethiga,Lucy ",BSN Western ,Nursing ,,Lecturer ,,Health Sciences
"Getty,Heather ","Bachelors, Ph.D. Ontario ",Psychology ,,Adjunct Clinical Professor ,,Social Science
"Ghafoor,Akmal ",MBBS Dow Medical College PAK ,Oncology ,,Adjunct/MD ,,Schulich
"Ghenniwa,Hamada H ","BSc Al-Fateh (Libya); MSc, Ph.D. Waterloo; ",Electrical & Computer ,,Professor ,,Engineering
"Gibb,Edwin Gerald ",BA Ontario ,Education - Preservice Office ,,Lecturer ,,Education
"Gibbons,Ross Dorval ","BA, MA Western; ",Political Science ,,Lecturer ,,Social Science
"Gibson,Candace Joyce ",BSc at MCMASTER ; Ph.D. at MIT ,Pathology ,,Associate Professor ,Clinical Dept Ugrd Chair ,Schulich
"Gibson,Gary Lorraine ",Professional Ontario ,Family Medicine - General ,,Professor Emeritus ,,Schulich
"Gibson,Maggie Christine ",Ph.D. Western ,Psychology ,,Adjunct Clinical Professor ,,Social Science
"Gibson,Paul ",BS U of Guelph; MD Queen's ,Paediatrics ,,Assistant Professor/MD ,,Schulich
"Gibson,R John ",FRCPCan BSc MD at Western ,Department of Medicine ,,Associate Professor/MD ,,Schulich
"Giddings,Gordon ","BS, MD U of Alabama ",Family Medicine - General/Oncology/Schulich - Education Off ,,Adjunct/MD ,,Schulich
"Gidney,Robert D. ","BA, MA McMaster; BEd Toronto; MPHIL London; ",Education - Office of the Dean ,,Professor Emeritus ,,Education
"Gidwani,Ram N. ","Bachelor, Professional India ",Pathology ,,Adjunct/MD ,,Schulich
"Giffin,Dawn Leanne ",BSc at DALHOUSIE ; MD at Western ,Department of Medicine ,,Associate Professor/MD ,,Schulich
"Giffin,J. Robert ",BSc MD at DALHOUSIE ; FRCSCan at Western ,Surgery ,,Associate Professor/MD ,,Schulich
"Gijzen,Mark ","BSc, MSc Saskatchewan; Ph.D. Washington; ",Biology ,,Adjunct Research Professor ,,Science
"Gilbert,Joe J ",MDCM McGill; FRCP ,Pathology ,,Professor Emeritus ,,Schulich
"Gilbert,Kenneth ",FRCPCan BA MDCM at MCGILL ,Department of Medicine ,,Associate Professor/MD ,,Schulich
"Gilchrist,James ",Professional GBR ,Oncology ,,Adjunct/MD ,,Schulich
"Gilkinson,Trevor L ",DIP ABEM FRCPCan MD at OTTAWA ,Department of Medicine ,,Associate Professor/MD ,,Schulich
"Gill,Sean Edward ","BS, Ph.D. Western ",Physiology and Pharmacology/Department of Medicine ,,Assistant Professor ,,Schulich
"Gillett,Michael K ",BSc at LONDON ; MB at ST. THOMAS ,Department of Medicine/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Gillies,Elizabeth R ","BSc Queen's, Ph.D. Berkeley ",Chemical &Biochem Engineering ,Chemistry ,Associate Professor ,Associate Chair ,Engineering
"Gillies,Kathy Diane ",BA Ontario ,Education - Continuing Educ ,,Lecturer ,,Education
"Gilliland,Jason A ",Ph.D. McGill; ,Geography ,School of Health Studies ,Associate Professor ,,Social Science
"Gillis,Gregory Frederick ",CCFP MD at Western ,Psychiatry/Family Medicine - General ,,Adjunct/MD ,,Schulich
"Gillis,Heather Mary ","BSc., Western; MSC., Western ",Physical Therapy ,,Lecturer ,,Health Sciences
"Gillmore,Jeannie Ann ","AMUS, ARCT, BSc, MA ; ",Economics ,,Lecturer ,,Social Science
"Gilmour,Kim Emilia ","BSc Univ of Toronto, MD Western ",Family Medicine - General ,,Adjunct/MD ,,Schulich
"Gilroy,Joseph B ","BS, PHS Univ of Victoria BC ",Chemistry ,,Assistant Professor ,,Science
"Giron,Arsenio ",BMUS Oberlin; MA Tulane; ,Music - Office of the Dean ,,Professor Emeritus ,,Music
"Girvan,David Pugsley ",FRCSCan MD MClSc at Western ,Surgery ,,Professor Emeritus ,,Schulich
"Girvin,John P ",FRCSCan MD Ph.D. at MCGILL ,Clinical Neurological Science ,,Professor Emeritus ,,Schulich
"Gittens,Mechelle Sophia ","BSc Univ. of West Indies; MSc, Ph.D. ",Computer Science ,,Adjunct Research Professor ,,Science
"Gittings,Christopher ","BA, MA Guelph; BA Queen's; Ph.D. Edinburg; ",Film Studies ,,Associate Professor ,Department Chair ,Arts & Humanities
"Glabush,Sky ",BFA Saskatchewan; MFA Alberta; ,Visual Arts ,,Associate Professor ,,Arts & Humanities
"Gladwell,Heather Elizabeth ",BS Univ of Toronto; MD Western ,Department of Medicine ,,Assistant Professor/MD ,,Schulich
"Glanville,Michelle Marie ","BA, BED U of Windsor ",Education - Preservice Office ,,Lecturer ,,Education
"Glanz,Anthony E. ",Bachelors; Professional Canada ,Department of Medicine/Schulich - Education office ,,Adjunct/MD ,,Schulich
"Glatt,Pamela Rose ","BA and MA, Western ",Sociology ,,Lecturer ,,Social Science
"Gleason,Karin Elizabeth ","BA Quebec, MA Ontario, Ph.D. Western ",Psychology ,,Adjunct Clinical Professor ,,Social Science
"Glebe,David William ","Bachelors, Masters Ontario ",Education - Continuing Educ ,,Lecturer ,,Education
"Glista,Danielle Ann ","BHSc., Western; MSc., Western; Ph.D., Western ",Communicative Sci & Disorders ,,Adjunct Research Professor ,,Health Sciences
"Gloor,Gregory B ",BSc Ph.D. at Western ,Biochemistry ,,Professor ,,Schulich
"Gloor,Jane Elizabeth ",FRCPCan MD at Western ,Paediatrics ,,Assistant Professor/MD ,,Schulich
"Gnanendran,Kandiah P ",FRCPCan MBBS at COLOMBO ,Anesthesia-Perioperative Med/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Gnidec,Elliott Peter Paul ",BSc DDS ,Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
